epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.954,1.50541,2.74938,1.22942,0.00551,0.91486,0.30827,0.14823,1.36128,3.41055,1.07832,0.000541044,0.000541044,0.000541044
2,511.955,1.44012,1.8524,1.15265,0.00456,0.52588,0.1783,0.11058,1.45782,3.69347,1.38022,0.001075,0.001075,0.001075
3,725.658,1.42069,1.65554,1.20344,0.59847,0.40707,0.49139,0.28305,1.45778,2.71268,1.26723,0.00158694,0.00158694,0.00158694
4,951.071,1.40218,1.51951,1.18118,0.59285,0.7094,0.63799,0.3497,1.47844,1.79745,1.25872,0.00156798,0.00156798,0.00156798
5,1179.66,1.40329,1.43464,1.17096,0.50215,0.51645,0.53072,0.29276,1.42423,1.99644,1.234,0.00153497,0.00153497,0.00153497
6,1490.61,1.37741,1.32103,1.1701,0.58416,0.69113,0.67978,0.37511,1.45582,1.48349,1.24513,0.00150197,0.00150197,0.00150197
7,1929.54,1.37021,1.29632,1.15546,0.67274,0.68755,0.682,0.35216,1.50322,1.36069,1.25728,0.00146896,0.00146896,0.00146896
8,2368.22,1.36176,1.2118,1.15781,0.69808,0.60615,0.64347,0.35358,1.47165,1.88735,1.23653,0.00143595,0.00143595,0.00143595
9,2818.75,1.32556,1.11752,1.15854,0.70583,0.69997,0.7199,0.40388,1.44307,1.23279,1.22954,0.00140295,0.00140295,0.00140295
10,3274.08,1.30518,1.12012,1.12307,0.71677,0.71625,0.72956,0.41743,1.48037,1.23553,1.23358,0.00136994,0.00136994,0.00136994
11,3731.43,1.326,1.08293,1.12981,0.71395,0.75501,0.76702,0.44204,1.4001,1.10436,1.21042,0.00133693,0.00133693,0.00133693
12,4187.05,1.2929,1.04139,1.13456,0.70488,0.74461,0.75278,0.4379,1.40198,1.12665,1.20398,0.00130393,0.00130393,0.00130393
13,4643.58,1.31212,1.00186,1.13214,0.72207,0.79568,0.78071,0.4361,1.43623,1.01151,1.20403,0.00127092,0.00127092,0.00127092
14,5020.56,1.28607,0.96841,1.12581,0.52516,0.73062,0.62687,0.38387,1.37089,1.76239,1.20536,0.00123791,0.00123791,0.00123791
15,5320.4,1.23993,0.93541,1.11135,0.76292,0.75279,0.79974,0.45627,1.44281,1.0024,1.22301,0.00120491,0.00120491,0.00120491
16,5634.72,1.27424,0.943,1.11495,0.67449,0.72763,0.75651,0.44412,1.41327,1.1152,1.20833,0.0011719,0.0011719,0.0011719
17,5967.28,1.24012,0.89861,1.10414,0.73578,0.81487,0.7999,0.47534,1.36272,0.95945,1.18382,0.00113889,0.00113889,0.00113889
18,6241.43,1.28725,0.87332,1.13319,0.65849,0.80118,0.76703,0.45299,1.39685,0.97534,1.18877,0.00110589,0.00110589,0.00110589
19,6478.31,1.24494,0.86376,1.09337,0.76174,0.73907,0.77474,0.45677,1.36462,0.94183,1.1762,0.00107288,0.00107288,0.00107288
20,6726.41,1.27702,0.88169,1.14276,0.73705,0.7499,0.76181,0.44272,1.40231,1.03411,1.19116,0.00103987,0.00103987,0.00103987
21,6983.16,1.20486,0.84312,1.10047,0.72592,0.7694,0.77332,0.45745,1.39199,0.9459,1.1888,0.00100687,0.00100687,0.00100687
22,7234.37,1.22635,0.83775,1.09667,0.7708,0.77883,0.80143,0.46785,1.36498,0.91332,1.17607,0.000973861,0.000973861,0.000973861
23,7485.24,1.21378,0.79688,1.08729,0.82127,0.76692,0.84098,0.49237,1.35585,0.8571,1.16747,0.000940855,0.000940855,0.000940855
24,7748.69,1.19152,0.80196,1.1061,0.71077,0.81692,0.79662,0.47841,1.35204,0.94049,1.16746,0.000907848,0.000907848,0.000907848
25,8024.23,1.19753,0.79414,1.0884,0.75444,0.7473,0.79358,0.47353,1.36845,0.92779,1.16695,0.000874842,0.000874842,0.000874842
26,8293.62,1.20902,0.77109,1.0855,0.82225,0.74521,0.80427,0.4879,1.3743,0.95438,1.16623,0.000841835,0.000841835,0.000841835
27,8513.02,1.16867,0.77092,1.07641,0.79851,0.7932,0.82453,0.49141,1.3361,0.8392,1.1585,0.000808828,0.000808828,0.000808828
28,8704.37,1.1669,0.73889,1.07777,0.74888,0.81538,0.81346,0.48884,1.35376,0.8532,1.16828,0.000775822,0.000775822,0.000775822
29,8896.97,1.15621,0.72359,1.0639,0.74126,0.85885,0.83192,0.50739,1.34782,0.84872,1.16925,0.000742815,0.000742815,0.000742815
30,9100.79,1.16666,0.73295,1.06982,0.76221,0.87728,0.82858,0.44848,1.4369,0.86622,1.22873,0.000709809,0.000709809,0.000709809
31,9328.44,1.16027,0.71704,1.06478,0.76378,0.83288,0.84268,0.50855,1.3237,0.82062,1.15732,0.000676802,0.000676802,0.000676802
32,9590.04,1.14562,0.70493,1.06477,0.76378,0.86463,0.84776,0.51073,1.35141,0.81091,1.16621,0.000643795,0.000643795,0.000643795
33,9816.27,1.10389,0.68137,1.04815,0.79242,0.81039,0.83286,0.50498,1.3266,0.81275,1.15237,0.000610789,0.000610789,0.000610789
34,10018.3,1.11909,0.69272,1.04758,0.75907,0.84816,0.83719,0.49804,1.36196,0.81461,1.16705,0.000577782,0.000577782,0.000577782
35,10240.4,1.09624,0.67834,1.03791,0.82644,0.80645,0.8426,0.4903,1.374,0.85065,1.16911,0.000544776,0.000544776,0.000544776
36,10485.2,1.069,0.65448,1.02541,0.78265,0.84721,0.8283,0.498,1.35487,0.831,1.17421,0.000511769,0.000511769,0.000511769
37,10725.2,1.09594,0.6594,1.03757,0.79528,0.83982,0.83696,0.49286,1.38031,0.79437,1.18704,0.000478762,0.000478762,0.000478762
38,10949.5,1.06094,0.63339,1.03055,0.7941,0.81239,0.84799,0.50326,1.3828,0.80042,1.19014,0.000445756,0.000445756,0.000445756
39,11156,1.08122,0.64031,1.03229,0.82155,0.80348,0.84512,0.50747,1.34296,0.78945,1.15889,0.000412749,0.000412749,0.000412749
40,11542.5,1.0488,0.6258,1.0262,0.79551,0.80528,0.83249,0.50483,1.33556,0.80774,1.16268,0.000379743,0.000379743,0.000379743
41,11746.1,1.03822,0.61733,1.03353,0.76824,0.80944,0.84254,0.49659,1.37114,0.81365,1.17154,0.000346736,0.000346736,0.000346736
42,11945,1.02127,0.56954,1.01536,0.8107,0.7749,0.82698,0.49075,1.36868,0.84176,1.17599,0.000313729,0.000313729,0.000313729
43,12152.7,1.01682,0.55917,1.02339,0.77298,0.83975,0.84687,0.50465,1.36952,0.76801,1.16929,0.000280723,0.000280723,0.000280723
44,12396.9,0.97966,0.52758,1.0034,0.8201,0.80466,0.84222,0.48918,1.40111,0.81447,1.19705,0.000247716,0.000247716,0.000247716
45,12644.5,0.97028,0.52294,1.0066,0.80183,0.81039,0.84153,0.49563,1.34323,0.79115,1.17847,0.00021471,0.00021471,0.00021471
46,12904.1,0.96693,0.51498,1.00192,0.83753,0.78795,0.8491,0.50449,1.36826,0.7907,1.18463,0.000181703,0.000181703,0.000181703
47,13150.3,0.95713,0.49405,0.99585,0.83467,0.81136,0.84861,0.51159,1.35314,0.77458,1.17321,0.000148696,0.000148696,0.000148696
48,13408.5,0.95054,0.50161,1.00614,0.8342,0.81787,0.84726,0.50392,1.36288,0.79506,1.18507,0.00011569,0.00011569,0.00011569
49,13661.7,0.956,0.49245,0.99335,0.83073,0.81025,0.8488,0.50783,1.3586,0.79692,1.17653,8.26832e-05,8.26832e-05,8.26832e-05
50,13930.7,0.93326,0.49381,0.98155,0.83133,0.81261,0.84697,0.50709,1.35471,0.79236,1.17491,4.96766e-05,4.96766e-05,4.96766e-05
